trading_symbol,exchange,type,name,instrument_key
BANKNIFTY25AUG57200CE,NSE_FO,OPTIDX,BANKNIFTY,NSE_FO|66949
BSE25JUN3250CE,NSE_FO,OPTSTK,BSE LIMITED,NSE_FO|52336
BSE25JUN3250PE,NSE_FO,OPTSTK,BSE LIMITED,NSE_FO|52337
DIVISLAB25AUG7600CE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91903
DIVISLAB25AUG7600PE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91904
AUBANK25JUN685CE,NSE_FO,OPTSTK,AU SMALL FINANCE BANK LTD,NSE_FO|66951
AUBANK25JUN685PE,NSE_FO,OPTSTK,AU SMALL FINANCE BANK LTD,NSE_FO|66952
ADANIPORTS25JUN1600PE,NSE_FO,OPTSTK,ADANI PORT & SEZ LTD,NSE_FO|66956
GOLD25JUL95600PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123501
GOLD25JUL95700CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123502
GOLD25JUL95600CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123500
ALKEM25JUL4450PE,NSE_FO,OPTSTK,ALKEM LABORATORIES LTD.,NSE_FO|76185
GMRAIRPORT25JUN99CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91785
GMRAIRPORT25JUN101CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91787
GMRAIRPORT25JUN93PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91780
GMRAIRPORT25JUN95CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91781
GMRAIRPORT25JUN95PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91782
GMRAIRPORT25JUN97CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91783
GMRAIRPORT25JUN87PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91774
GMRAIRPORT25JUN89CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91775
GMRAIRPORT25JUN89PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91776
GMRAIRPORT25JUN91CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91777
GMRAIRPORT25JUN91PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91778
GMRAIRPORT25JUN93CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91779
GMRAIRPORT25JUN83PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91770
GMRAIRPORT25JUN85CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91771
GMRAIRPORT25JUN85PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91772
GMRAIRPORT25JUN87CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91773
