,instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
0,NCD_FO|14294,14294,JPYINR26MAR61CE,JPYINR,3.0075,2026-03-27,61.0,0.25,1.0,OPTCUR,CE,NCD_FO
1,NCD_FO|14295,14295,JPYINR26MAR61PE,JPYINR,3.145,2026-03-27,61.0,0.25,1.0,OPTCUR,PE,NCD_FO
2,NSE_EQ|INE869I01013,21195,GTPL,GTPL HATHWAY LIMITED,117.09,,,0.01,1.0,EQUITY,,NSE_EQ
3,NSE_FO|50917,50917,NIFTY2561923550CE,NIFTY,1675.0,2025-06-19,23550.0,0.05,75.0,OPTIDX,CE,NSE_FO
4,NSE_FO|50918,50918,NIFTY2561923550PE,NIFTY,3.8,2025-06-19,23550.0,0.05,75.0,OPTIDX,PE,NSE_FO
