,SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
0,BSE,C,1026077,FUTCUR,0,USDINR-28Aug2024-FUT,1.0,USDINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,USDINR
1,BSE,C,1026078,FUTCUR,0,GBPINR-28Aug2024-FUT,1.0,GBPINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,GBPINR
2,BSE,C,1026079,FUTCUR,0,EURINR-28Aug2024-FUT,1.0,EURINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,EURINR
3,BSE,C,1026080,FUTCUR,0,JPYINR-28Aug2024-FUT,1.0,JPYINR AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.25,M,FUTCUR,,JPYINR
4,BSE,C,1026081,FUTCUR,0,EURUSD-28Aug2024-FUT,1.0,EURUSD AUG FUT,2024-08-28 14:30:00,-0.01,XX,0.01,M,FUTCUR,,EURUSD
